Dataset Name,Tree Accuracy,Tree Precision,Tree Recall,Tree F1 Score,Tree Clean Auc,Tree Clean Accuracy,Tree Clean Precision,Tree Clean Recall,Tree Clean F1 Score,Tree Clean Auc,DNN Accuracy,DNN Precision,DNN Recall,DNN F1 Score,DNN Auc
all70,0.9630681818181818,0.9223300970873787,0.8407079646017699,0.8796296296296297,0.9461614482727639,0.9630681818181818,0.9223300970873787,0.8407079646017699,0.8796296296296297,0.9461614482727639,0.16051136363636365,0.16051136363636365,1.0,0.2766217870257038,0.5
on70,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9495979515745024,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9495979515745024,0.8394886363636364,0.0,0.0,0.0,0.5
oi70,0.9588068181818182,0.9565217391304348,0.7787610619469026,0.8585365853658536,0.9813949657847056,0.9588068181818182,0.9565217391304348,0.7787610619469026,0.8585365853658536,0.9813949657847056,0.8394886363636364,0.0,0.0,0.0,0.5
in70,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9497476902804605,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9497476902804605,0.16051136363636365,0.16051136363636365,1.0,0.2766217870257038,0.5
null80,0.9744318181818182,0.9279279279279279,0.911504424778761,0.9196428571428571,0.9454651632900588,0.9744318181818182,0.9279279279279279,0.911504424778761,0.9196428571428571,0.9454651632900588,0.16051136363636365,0.16051136363636365,1.0,0.2766217870257038,0.5
outlier80,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9443271491247771,0.96875,0.9595959595959596,0.8407079646017699,0.8962264150943396,0.9443271491247771,0.8394886363636364,0.0,0.0,0.0,0.5
inconsistent80,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9510953386340835,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9510953386340835,0.8394886363636364,0.0,0.0,0.0,0.5
all80,0.9857954545454546,0.9327731092436975,0.9823008849557522,0.9568965517241379,0.9863737777578125,0.9872159090909091,0.940677966101695,0.9823008849557522,0.961038961038961,0.9863737777578125,0.8394886363636364,0.0,0.0,0.0,0.5
on80,0.9616477272727273,0.9134615384615384,0.8407079646017699,0.8755760368663594,0.9781156881242232,0.9616477272727273,0.9134615384615384,0.8407079646017699,0.8755760368663594,0.9781156881242232,0.8394886363636364,0.0,0.0,0.0,0.5
oi80,0.9474431818181818,0.8275862068965517,0.8495575221238938,0.8384279475982532,0.9411676624290611,0.9460227272727273,0.8205128205128205,0.8495575221238938,0.8347826086956521,0.9411676624290611,0.16051136363636365,0.16051136363636365,1.0,0.2766217870257038,0.5
in80,0.9616477272727273,0.9134615384615384,0.8407079646017699,0.8755760368663594,0.9798451701780392,0.9602272727272727,0.9047619047619048,0.8407079646017699,0.8715596330275229,0.9798451701780392,0.8394886363636364,0.0,0.0,0.0,0.5
null90,0.9673295454545454,0.95,0.8407079646017699,0.892018779342723,0.94899899675067,0.9715909090909091,0.911504424778761,0.911504424778761,0.911504424778761,0.94899899675067,0.8394886363636364,0.0,0.0,0.0,0.5
outlier90,0.9744318181818182,0.9279279279279279,0.911504424778761,0.9196428571428571,0.9476064267852595,0.9744318181818182,0.9279279279279279,0.911504424778761,0.9196428571428571,0.9476064267852595,0.8394886363636364,0.0,0.0,0.0,0.5
inconsistent90,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9497252294745668,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9497252294745668,0.8394886363636364,0.0,0.0,0.0,0.5
all90,0.9602272727272727,0.9473684210526315,0.7964601769911505,0.8653846153846154,0.9566955662369165,0.9602272727272727,0.9473684210526315,0.7964601769911505,0.8653846153846154,0.9566955662369165,0.8394886363636364,0.0,0.0,0.0,0.5
on90,0.9630681818181818,0.9578947368421052,0.8053097345132744,0.875,0.9487893625623286,0.9630681818181818,0.9578947368421052,0.8053097345132744,0.875,0.9487893625623286,0.8394886363636364,0.0,0.0,0.0,0.5
oi90,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9487743886917328,0.9758522727272727,0.9363636363636364,0.911504424778761,0.9237668161434978,0.9487743886917328,0.8394886363636364,0.0,0.0,0.0,0.5
in90,0.9673295454545454,0.95,0.8407079646017699,0.892018779342723,0.910643427219502,0.9573863636363636,0.8878504672897196,0.8407079646017699,0.8636363636363636,0.910643427219502,0.8394886363636364,0.0,0.0,0.0,0.5
